"VEHICLE: CARGO VAN, SPRINTER, CUBE VAN, STRAIGHT TRUCK, TRACTOR",DISTANCE: Miles,"PICKUP STATE: eg - TX, MI","DESTINATION STATE: eg - WI, IL","PICKUP CITY: eg - LAREDO, DALLAS","DESTINATION CITY: eg - HOPKINSVILLE, DALLAS",PICKUP DATE: dd-mm-yyyy,DELIVERY DATE: dd-mm-yyyy,Enter Your Bid Price
STRAIGHT TRUCK,1065,TX,GA,LAREDO,WEST POINT,25-03-2022,29-03-2022,0
CARGO VAN,1353,TX,IL,LAREDO,BARTLETT,25-03-2022,28-03-2022,0
CUBE VAN,1616,TX,MI,LAREDO,DETROIT,25-03-2022,28-03-2022,0
CUBE VAN,187,CU,TX,RAMOS ARIZPE,LAREDO,25-03-2022,26-03-2022,0
SPRINTER,2372,MR,MI,CUAUTLA,DEARBORN,25-03-2022,29-03-2022,0
TRACTOR,1911,WI,SL,PORTAGE,SAN LUIS POTOSÍ,25-03-2022,29-03-2022,0
CUBE VAN,1258,TX,KY,DEL RIO,LOUISVILLE,25-03-2022,28-03-2022,0
TRACTOR,1699,TN,AG,ATHENS,LUIS ORTEGA DOUGLAS,25-03-2022,31-03-2022,0
TRACTOR,1699,TN,AG,ATHENS,LUIS ORTEGA DOUGLAS,25-03-2022,31-03-2022,0
SPRINTER,2179,QA,MI,QUERÉTARO,WAYNE,25-03-2022,28-03-2022,0
STRAIGHT TRUCK,1452,OH,TX,URBANA,LAREDO,25-03-2022,28-03-2022,0
CARGO VAN,836,NX,OK,APODACA,TULSA,25-03-2022,28-03-2022,0
SPRINTER,1510,IN,TX,ELKHART,BROWNSVILLE,25-03-2022,28-03-2022,0
TRACTOR,576,TX,QA,LAREDO,SANTIAGO,25-03-2022,29-03-2022,0
CARGO VAN,1640,MI,TX,TROY,LAREDO,25-03-2022,27-03-2022,0
TRACTOR,1911,WI,SL,PORTAGE,SAN LUIS POTOSÍ,25-03-2022,31-03-2022,0
STRAIGHT TRUCK,624,JA,TX,TLAQUEPAQUE,LAREDO,25-03-2022,28-03-2022,0
CARGO VAN,1514,MI,TX,KALAMAZOO,LAREDO,25-03-2022,28-03-2022,0
CARGO VAN,1962,NY,TX,CAZENOVIA,LAREDO,25-03-2022,27-03-2022,0
STRAIGHT TRUCK,2091,SL,MI,DALIAS,SAINT CLAIR SHORES,25-03-2022,28-03-2022,0
TRACTOR,626,GA,OH,MONROE,LIMA,25-03-2022,26-03-2022,0
CARGO VAN,1117,TN,TX,SPRINGFIELD,LAREDO,24-03-2022,25-03-2022,0
CARGO VAN,345,MI,IL,TRAVERSE CITY,ELK GROVE VILLAGE,24-03-2022,25-03-2022,0
CARGO VAN,247,PA,OH,EVANS CITY,LIMA,24-03-2022,24-03-2022,0
TRACTOR,1797,JA,TN,EL SALTO,CHATTANOOGA,23-03-2022,25-03-2022,0
TRACTOR,1538,TX,NC,LAREDO,MORRISVILLE,23-03-2022,25-03-2022,0
STRAIGHT TRUCK,1606,TX,MI,LAREDO,PLYMOUTH,23-03-2022,25-03-2022,0
CUBE VAN,1662,TX,MI,LAREDO,SAGINAW,23-03-2022,25-03-2022,0
SPRINTER,1662,TX,MI,LAREDO,SAGINAW,23-03-2022,25-03-2022,0
TRACTOR,1543,MI,TX,GRAND RAPIDS,LAREDO,23-03-2022,25-03-2022,0
CARGO VAN,1584,OH,TX,MEDINA,LAREDO,23-03-2022,25-03-2022,0
TRACTOR,1147,TN,TN,GALLATIN,GALLATIN,23-03-2022,25-03-2022,0
STRAIGHT TRUCK,1423,IN,TX,KEWANNA,LAREDO,23-03-2022,25-03-2022,0
STRAIGHT TRUCK,1353,TX,IN,LAREDO,GREENSBURG,23-03-2022,25-03-2022,0
STRAIGHT TRUCK,1614,TX,MI,LAREDO,LIVONIA,23-03-2022,25-03-2022,0
SPRINTER,880,AR,MI,SPRINGDALE,DEARBORN,23-03-2022,24-03-2022,0
STRAIGHT TRUCK,1639,MI,TX,MOUNT CLEMENS,LAREDO,23-03-2022,25-03-2022,0
TRACTOR,869,VZ,TX,IXTACZOQUITLAN CENTRO,LAREDO,23-03-2022,25-03-2022,0
CARGO VAN,1791,CU,MI,SALTILLO,BELLEVILLE,23-03-2022,25-03-2022,0
SPRINTER,1549,MI,TX,MUSKEGON,LAREDO,23-03-2022,25-03-2022,0
TRACTOR,1586,QA,AL,COLON,VANCE,23-03-2022,25-03-2022,0
SPRINTER,1254,TX,KY,LAREDO,LOUISVILLE,23-03-2022,24-03-2022,0
TRACTOR,187,TX,CU,LAREDO,RAMOS ARIZPE,22-03-2022,23-03-2022,0
TRACTOR,1358,TX,IL,LAREDO,ELGIN,22-03-2022,24-03-2022,0
STRAIGHT TRUCK,1353,TX,IN,LAREDO,GREENSBURG,22-03-2022,24-03-2022,0
CARGO VAN,1994,SL,MI,SAN LUIS POTOSÍ,KENTWOOD,22-03-2022,25-03-2022,0
CARGO VAN,1500,CU,SC,SALTILLO,DUNCAN,22-03-2022,25-03-2022,0
STRAIGHT TRUCK,1601,MI,TX,FOWLERVILLE,LAREDO,22-03-2022,24-03-2022,0
TRACTOR,1147,TN,TN,GALLATIN,GALLATIN,22-03-2022,24-03-2022,0
CARGO VAN,1662,TX,OH,LOS INDIOS,TOLEDO,22-03-2022,24-03-2022,0
STRAIGHT TRUCK,1643,TX,MI,LAREDO,AUBURN HILLS,22-03-2022,24-03-2022,0
TRACTOR,693,TX,EM,LAREDO,TOLUCA,22-03-2022,24-03-2022,0
STRAIGHT TRUCK,1624,MI,TX,DETROIT,LAREDO,22-03-2022,24-03-2022,0
STRAIGHT TRUCK,1604,MI,TX,TAYLOR,LAREDO,22-03-2022,24-03-2022,0
CARGO VAN,1637,MI,TX,ROSEVILLE,LAREDO,22-03-2022,24-03-2022,0
CARGO VAN,210,TX,TX,BROWNSVILLE,LAREDO,22-03-2022,22-03-2022,0
CUBE VAN,1625,MI,TX,NEW HUDSON,LAREDO,22-03-2022,24-03-2022,0
TRACTOR,504,TN,MI,COOKEVILLE,MANCHESTER,22-03-2022,23-03-2022,0
TRACTOR,1551,TN,SL,SPRING HILL,SAN LUIS,22-03-2022,24-03-2022,0
CARGO VAN,318,IL,KY,ELMHURST,LOUISVILLE,22-03-2022,22-03-2022,0
STRAIGHT TRUCK,2048,SL,MI,SAN LUIS,YPSILANTI,21-03-2022,25-03-2022,0
CARGO VAN,2231,JA,MI,TLAJOMULCO DE ZUÑIGA,FLAT ROCK,21-03-2022,25-03-2022,0
TRACTOR,1147,TN,TN,GALLATIN,GALLATIN,21-03-2022,23-03-2022,0
STRAIGHT TRUCK,1153,KY,TX,BOWLING GREEN,LAREDO,21-03-2022,23-03-2022,0
CARGO VAN,1353,TX,IL,LAREDO,BARTLETT,21-03-2022,23-03-2022,0
STRAIGHT TRUCK,1713,TX,MI,LAREDO,DETROIT,21-03-2022,23-03-2022,0
TRACTOR,568,KY,KY,BOWLING GREEN,BOWLING GREEN,21-03-2022,22-03-2022,0
TRACTOR,596,TX,GJ,LAREDO,APASEO EL GRANDE,21-03-2022,22-03-2022,0
SPRINTER,1602,TX,MI,LAREDO,BELLEVILLE,21-03-2022,23-03-2022,0
CARGO VAN,1518,WI,TX,MANITOWOC,LAREDO,21-03-2022,23-03-2022,0
CARGO VAN,1603,OH,TX,CUYAHOGA FALLS,LAREDO,21-03-2022,23-03-2022,0
CARGO VAN,1900,JA,KY,TLAJOMULCO DE ZUÑIGA,LOUISVILLE,20-03-2022,24-03-2022,0
TRACTOR,2011,TX,MI,LAREDO,WARREN,20-03-2022,24-03-2022,0
TRACTOR,1576,SL,TN,SAN LUIS POTOSÍ,MURFREESBORO,20-03-2022,23-03-2022,0
CARGO VAN,1117,TN,TX,SPRINGFIELD,LAREDO,20-03-2022,21-03-2022,0
TRACTOR,1804,CU,MI,RAMOS ARIZPE,REDFORD,20-03-2022,24-03-2022,0
CUBE VAN,1619,TX,MI,LAREDO,DETROIT,19-03-2022,21-03-2022,0
STRAIGHT TRUCK,2246,QA,MI,COLON,AUBURN HILLS,19-03-2022,24-03-2022,0
CARGO VAN,719,RI,MI,LINCOLN,FLAT ROCK,19-03-2022,21-03-2022,0
TRACTOR,1616,TX,MI,LAREDO,DETROIT,19-03-2022,21-03-2022,0
SPRINTER,2000,AZ,MI,NOGALES,FLAT ROCK,19-03-2022,21-03-2022,0
TRACTOR,1264,TN,TX,CLINTON,LAREDO,19-03-2022,21-03-2022,0
TRACTOR,1576,SL,TN,SAN LUIS POTOSÍ,MURFREESBORO,19-03-2022,23-03-2022,0
CARGO VAN,275,IL,MI,PARK FOREST,DETROIT,19-03-2022,20-03-2022,0
TRACTOR,1544,MI,TX,WALKER,LAREDO,19-03-2022,21-03-2022,0
TRACTOR,1511,TX,NC,LAREDO,SANFORD,19-03-2022,21-03-2022,0
STRAIGHT TRUCK,1811,SL,IN,SAN LUIS POTOSÍ,GREENSBURG,19-03-2022,23-03-2022,0
CARGO VAN,1138,MS,TX,HOLLY SPRINGS,EL PASO,19-03-2022,21-03-2022,0
TRACTOR,2341,EM,MI,LERMA DE VILLADA CENTRO,STERLING HEIGHTS,19-03-2022,24-03-2022,0
CARGO VAN,149,IL,IN,PARK FOREST,TIPTON,19-03-2022,19-03-2022,0
SPRINTER,1605,OH,TX,AVON,LAREDO,19-03-2022,21-03-2022,0
TRACTOR,2173,DG,ON,NUEVO IDEAL,ESSEX,18-03-2022,23-03-2022,0
TRACTOR,2190,QA,MI,EL MARQUÉS,DETROIT,18-03-2022,24-03-2022,0
TRACTOR,1820,CU,MI,RAMOS ARIZPE,FLINT,18-03-2022,25-03-2022,0
TRACTOR,2179,QA,OH,QUERÉTARO,BROOK PARK,18-03-2022,25-03-2022,0
STRAIGHT TRUCK,1448,TX,OH,LAREDO,LONDON,18-03-2022,21-03-2022,0
CARGO VAN,1465,TX,OH,LAREDO,COLUMBUS,18-03-2022,21-03-2022,0
CUBE VAN,1419,NX,KY,GUADALUPE,LOUISVILLE,18-03-2022,24-03-2022,0
SPRINTER,1511,TX,NC,LAREDO,SANFORD,18-03-2022,21-03-2022,0
TRACTOR,2342,EM,MI,LERMA,STERLING HEIGHTS,18-03-2022,24-03-2022,0
SPRINTER,2625,SL,RI,VILLA DE REYES,WARWICK,18-03-2022,24-03-2022,0
TRACTOR,1344,KY,TX,GEORGETOWN,LOS INDIOS,18-03-2022,21-03-2022,0
CARGO VAN,192,CU,TX,RAMOS ARIZPE,LAREDO,18-03-2022,19-03-2022,0
TRACTOR,1312,TX,KY,LAREDO,GEORGETOWN,18-03-2022,21-03-2022,0
STRAIGHT TRUCK,1278,CU,TN,RAMOS ARIZPE,SPRING HILL,18-03-2022,21-03-2022,0
CUBE VAN,1065,TX,GA,LAREDO,WEST POINT,18-03-2022,22-03-2022,0
TRACTOR,1294,KY,TX,HARRODSBURG,LAREDO,18-03-2022,20-03-2022,0
TRACTOR,1699,TN,AG,ATHENS,LUIS ORTEGA DOUGLAS,18-03-2022,24-03-2022,0
CARGO VAN,2627,RI,SL,WARWICK,VILLA DE REYES,18-03-2022,22-03-2022,0
SPRINTER,1640,MI,TX,AUBURN HILLS,LAREDO,18-03-2022,21-03-2022,0
CARGO VAN,1625,MI,TX,NEW HUDSON,LAREDO,18-03-2022,21-03-2022,0
SPRINTER,1640,TX,MI,LAREDO,AUBURN HILLS,18-03-2022,21-03-2022,0
CARGO VAN,1175,TX,TN,LAREDO,CHATTANOOGA,18-03-2022,21-03-2022,0
SPRINTER,1057,MO,TX,SAINT LOUIS,LAREDO,18-03-2022,21-03-2022,0
STRAIGHT TRUCK,1169,TX,IL,LAREDO,FLORA,18-03-2022,21-03-2022,0
SPRINTER,1624,MI,TX,DETROIT,LAREDO,18-03-2022,20-03-2022,0
TRACTOR,1493,CU,SC,CENTRO,GRAY COURT,18-03-2022,23-03-2022,0
TRACTOR,1493,CU,SC,CENTRO,GRAY COURT,18-03-2022,21-03-2022,0
SPRINTER,1614,OH,TX,CLEVELAND,LAREDO,18-03-2022,21-03-2022,0
CARGO VAN,1625,MI,TX,NEW HUDSON,LAREDO,18-03-2022,21-03-2022,0
STRAIGHT TRUCK,1488,CU,IL,RAMOS ARIZPE,MOLINE,18-03-2022,23-03-2022,0
STRAIGHT TRUCK,1258,TX,KY,DEL RIO,LOUISVILLE,18-03-2022,21-03-2022,0
TRACTOR,2069,SL,MI,SAN LUIS POTOSÍ,BELLEVILLE,18-03-2022,24-03-2022,0
SPRINTER,1358,IL,TX,ELK GROVE,LAREDO,18-03-2022,21-03-2022,0
CARGO VAN,1653,MI,TX,LAPEER,LAREDO,18-03-2022,20-03-2022,0
TRACTOR,1754,NX,MI,APODACA CENTRO,LIVONIA,18-03-2022,22-03-2022,0
STRAIGHT TRUCK,1235,KY,TX,RUSSELL SPRINGS,LAREDO,18-03-2022,21-03-2022,0
CARGO VAN,319,ON,MI,VAUGHAN,JONESVILLE,18-03-2022,18-03-2022,0
TRACTOR,684,TX,TN,ARLINGTON,SPRING HILL,17-03-2022,18-03-2022,0
CARGO VAN,1117,TN,TX,SPRINGFIELD,LAREDO,17-03-2022,18-03-2022,0
CARGO VAN,434,KY,IL,BOWLING GREEN,ITASCA,17-03-2022,18-03-2022,0
SPRINTER,378,MI,KY,GRAND RAPIDS,LOUISVILLE,16-03-2022,17-03-2022,0
SPRINTER,1513,TX,MI,LAREDO,VICKSBURG,16-03-2022,18-03-2022,0
CARGO VAN,1554,TX,OH,LAREDO,TOLEDO,16-03-2022,18-03-2022,0
STRAIGHT TRUCK,1527,MI,TX,BATTLE CREEK,LAREDO,16-03-2022,18-03-2022,0
STRAIGHT TRUCK,1132,TX,GA,LAREDO,ROME,16-03-2022,17-03-2022,0
SPRINTER,1687,TX,MI,PHARR,DETROIT,16-03-2022,18-03-2022,0
STRAIGHT TRUCK,1143,IL,TX,SALEM,LAREDO,16-03-2022,18-03-2022,0
CARGO VAN,1117,TN,TX,SPRINGFIELD,LAREDO,16-03-2022,17-03-2022,0
STRAIGHT TRUCK,1543,MI,TX,GRAND RAPIDS,LAREDO,16-03-2022,18-03-2022,0
CARGO VAN,1294,KY,TX,HARRODSBURG,LAREDO,16-03-2022,18-03-2022,0
SPRINTER,1610,MI,TX,PLYMOUTH,LAREDO,16-03-2022,18-03-2022,0
STRAIGHT TRUCK,1662,TX,MI,LAREDO,SAGINAW,15-03-2022,17-03-2022,0
STRAIGHT TRUCK,1606,TX,MI,LAREDO,PLYMOUTH,15-03-2022,17-03-2022,0
CARGO VAN,836,NX,OK,APODACA,TULSA,15-03-2022,18-03-2022,0
TRACTOR,1713,TX,MI,LAREDO,DETROIT,15-03-2022,17-03-2022,0
TRACTOR,1562,OH,TX,TOLEDO,LAREDO,15-03-2022,16-03-2022,0
SPRINTER,1658,TX,MI,LAREDO,STERLING HEIGHTS,15-03-2022,17-03-2022,0
CARGO VAN,1838,QA,KY,EL MARQUÉS,LOUISVILLE,15-03-2022,18-03-2022,0
CUBE VAN,1637,MI,TX,ROSEVILLE,LAREDO,15-03-2022,17-03-2022,0
CARGO VAN,1793,PA,TX,EMPORIUM,LAREDO,15-03-2022,18-03-2022,0
CARGO VAN,851,NX,OK,SANTA CATARINA,TULSA,15-03-2022,17-03-2022,0
CARGO VAN,1117,TN,TX,SPRINGFIELD,LAREDO,15-03-2022,16-03-2022,0
STRAIGHT TRUCK,1812,GJ,KY,SILAO,LOUISVILLE,15-03-2022,17-03-2022,0
CUBE VAN,200,KY,TN,LEXINGTON,SPRINGFIELD,15-03-2022,15-03-2022,0
SPRINTER,2131,MA,TX,EASTHAMPTON,LAREDO,15-03-2022,18-03-2022,0
TRACTOR,504,TN,MI,COOKEVILLE,MANCHESTER,15-03-2022,15-03-2022,0
TRACTOR,1353,TX,IN,LAREDO,GREENSBURG,15-03-2022,16-03-2022,0
TRACTOR,2095,AG,MI,AGUASCALIENTES,TAYLOR,15-03-2022,18-03-2022,0
SPRINTER,1312,SC,TX,MOORE,LAREDO,15-03-2022,17-03-2022,0
CARGO VAN,1625,MI,TX,NEW HUDSON,LAREDO,15-03-2022,17-03-2022,0
STRAIGHT TRUCK,1594,TX,MI,LAREDO,NEW BOSTON,14-03-2022,16-03-2022,0
CARGO VAN,1334,TX,TN,LAREDO,ROGERSVILLE,14-03-2022,16-03-2022,0
TRACTOR,568,KY,KY,BOWLING GREEN,BOWLING GREEN,14-03-2022,15-03-2022,0
CARGO VAN,1936,MD,NX,BALTIMORE,GENERAL ESCOBEDO,14-03-2022,17-03-2022,0
CARGO VAN,1117,TN,TX,SPRINGFIELD,LAREDO,14-03-2022,15-03-2022,0
SPRINTER,1402,NC,TX,CONCORD,LAREDO,14-03-2022,16-03-2022,0
CARGO VAN,2300,EM,MI,TOLUCA,DETROIT,14-03-2022,18-03-2022,0
CARGO VAN,1994,SL,MI,SAN LUIS POTOSÍ,KENTWOOD,14-03-2022,17-03-2022,0
CARGO VAN,1384,OH,TX,HAMILTON,LAREDO,14-03-2022,16-03-2022,0
TRACTOR,1153,KY,TX,BOWLING GREEN,LAREDO,13-03-2022,14-03-2022,0
TRACTOR,1804,CU,MI,RAMOS ARIZPE,REDFORD,13-03-2022,17-03-2022,0
SPRINTER,1513,TX,MI,LAREDO,VICKSBURG,12-03-2022,14-03-2022,0
TRACTOR,2011,TX,MI,LAREDO,WARREN,12-03-2022,17-03-2022,0
STRAIGHT TRUCK,1605,OH,TX,AVON,LAREDO,12-03-2022,14-03-2022,0
STRAIGHT TRUCK,1448,TX,OH,LAREDO,LONDON,12-03-2022,14-03-2022,0
TRACTOR,684,TX,EM,LAREDO,CUAUTITLÁN IZCALLI,12-03-2022,14-03-2022,0
CARGO VAN,1150,TX,GA,BROWNSVILLE,LA FAYETTE,12-03-2022,13-03-2022,0
TRACTOR,1797,JA,TN,EL SALTO,CHATTANOOGA,12-03-2022,16-03-2022,0
TRACTOR,1358,TX,IN,LAREDO,GREENSBURG,12-03-2022,13-03-2022,0
CARGO VAN,1640,TX,MI,LAREDO,AUBURN HILLS,12-03-2022,14-03-2022,0
SPRINTER,1720,TX,MI,EL PASO,DEARBORN,12-03-2022,14-03-2022,0
CARGO VAN,2022,MR,KY,CUAUTLA,LOUISVILLE,12-03-2022,16-03-2022,0
CARGO VAN,1746,TX,MI,EL PASO,STERLING HEIGHTS,12-03-2022,14-03-2022,0
CARGO VAN,1726,TX,MI,EL PASO,HIGHLAND PARK,12-03-2022,13-03-2022,0
CUBE VAN,2009,JA,IL,TLAQUEPAQUE,CHICAGO,11-03-2022,17-03-2022,0
STRAIGHT TRUCK,1448,TX,OH,LAREDO,LONDON,11-03-2022,13-03-2022,0
TRACTOR,1122,TN,TX,LEWISBURG,LAREDO,11-03-2022,13-03-2022,0
CARGO VAN,2212,CA,OH,ONTARIO,TOLEDO,11-03-2022,15-03-2022,0
CARGO VAN,1937,CA,IL,ONTARIO,BELVIDERE,11-03-2022,14-03-2022,0
STRAIGHT TRUCK,1448,TX,OH,LAREDO,LONDON,11-03-2022,14-03-2022,0
STRAIGHT TRUCK,1511,TX,NC,LAREDO,SANFORD,11-03-2022,14-03-2022,0
TRACTOR,1354,TX,KY,LAREDO,HEBRON,11-03-2022,15-03-2022,0
STRAIGHT TRUCK,1506,TX,MI,LAREDO,PORTAGE,11-03-2022,14-03-2022,0
TRACTOR,1337,NC,TX,ARDEN,LAREDO,11-03-2022,13-03-2022,0
CARGO VAN,2233,JA,MI,TLAQUEPAQUE,DETROIT,11-03-2022,15-03-2022,0
STRAIGHT TRUCK,2168,GJ,MI,SAN MIGUEL DE ALLENDE,REDFORD,11-03-2022,18-03-2022,0
TRACTOR,2190,QA,MI,EL MARQUÉS,DETROIT,11-03-2022,17-03-2022,0
CUBE VAN,2143,PU,OH,15 DE SEPTIEMBRE,CHILLICOTHE,11-03-2022,17-03-2022,0
TRACTOR,1493,CU,SC,CENTRO,GRAY COURT,11-03-2022,14-03-2022,0
SPRINTER,1367,CU,GA,CENTRO,SUWANEE,11-03-2022,14-03-2022,0
CUBE VAN,1065,TX,GA,LAREDO,WEST POINT,11-03-2022,15-03-2022,0
STRAIGHT TRUCK,345,CU,TX,SALTILLO,SAN ANTONIO,11-03-2022,16-03-2022,0
TRACTOR,1816,GJ,KY,COECILLO,LOUISVILLE,11-03-2022,16-03-2022,0
CARGO VAN,1363,IL,TX,BELVIDERE,LAREDO,11-03-2022,12-03-2022,0
CUBE VAN,1883,IN,SL,RICHMOND,VILLA DE REYES,11-03-2022,17-03-2022,0
CARGO VAN,1402,NC,TX,CONCORD,LAREDO,11-03-2022,14-03-2022,0
CUBE VAN,1626,MI,TX,WARREN,LAREDO,11-03-2022,13-03-2022,0
CUBE VAN,957,AZ,TX,DOUGLAS,LAREDO,11-03-2022,14-03-2022,0
SPRINTER,1580,MI,TX,LANSING,LAREDO,11-03-2022,13-03-2022,0
CARGO VAN,2099,MI,SL,TROY,SAN LUIS POTOSÍ,11-03-2022,16-03-2022,0
SPRINTER,2147,MI,QA,MONROE,BENITO JUÁREZ,11-03-2022,18-03-2022,0
SPRINTER,1057,MO,TX,SAINT LOUIS,LAREDO,11-03-2022,14-03-2022,0
TRACTOR,2069,SL,MI,SAN LUIS POTOSÍ,BELLEVILLE,11-03-2022,17-03-2022,0
CUBE VAN,1294,KY,TX,HARRODSBURG,LAREDO,11-03-2022,14-03-2022,0
TRACTOR,2210,QA,MI,SANTA ROSA,STERLING HEIGHTS,11-03-2022,14-03-2022,0
TRACTOR,1473,SC,CU,GREENVILLE,RAMOS ARIZPE,11-03-2022,18-03-2022,0
CARGO VAN,2090,SL,MI,SAN LUIS POTOSÍ,SAINT CLAIR SHORES,11-03-2022,14-03-2022,0
STRAIGHT TRUCK,1262,KY,TX,LOUISVILLE,LAREDO,11-03-2022,12-03-2022,0
SPRINTER,307,ON,MI,NORTH YORK,LANSING,11-03-2022,11-03-2022,0
TRACTOR,1301,IL,TX,MOLINE,LAREDO,10-03-2022,11-03-2022,0
TRACTOR,1601,MI,TX,FOWLERVILLE,LAREDO,10-03-2022,11-03-2022,0
TRACTOR,1354,TX,KY,LAREDO,HEBRON,09-03-2022,11-03-2022,0
STRAIGHT TRUCK,1448,TX,OH,LAREDO,LONDON,09-03-2022,11-03-2022,0
TRACTOR,1354,TX,KY,LAREDO,HEBRON,09-03-2022,11-03-2022,0
STRAIGHT TRUCK,1160,TX,TN,LAREDO,DECHERD,09-03-2022,11-03-2022,0
SPRINTER,1653,MI,TX,LAPEER,LAREDO,09-03-2022,11-03-2022,0
STRAIGHT TRUCK,578,TX,GJ,LAREDO,CENTRO,09-03-2022,10-03-2022,0
SPRINTER,1268,SC,TX,ANDERSON,LAREDO,09-03-2022,11-03-2022,0
TRACTOR,1345,TN,TX,SURGOINSVILLE,LAREDO,09-03-2022,10-03-2022,0
STRAIGHT TRUCK,1629,MI,TX,SAINT CLAIR SHORES,LAREDO,09-03-2022,11-03-2022,0
SPRINTER,1294,KY,TX,HARRODSBURG,LAREDO,09-03-2022,11-03-2022,0
TRACTOR,1493,CU,SC,CENTRO,GRAY COURT,09-03-2022,11-03-2022,0
CARGO VAN,2090,SL,MI,SAN LUIS POTOSÍ,SAINT CLAIR SHORES,08-03-2022,11-03-2022,0
CUBE VAN,1554,TX,OH,LAREDO,TOLEDO,08-03-2022,10-03-2022,0
STRAIGHT TRUCK,1606,TX,MI,LAREDO,PLYMOUTH,08-03-2022,10-03-2022,0
CUBE VAN,432,TX,ZT,LAREDO,CALERA DE CENTRO,08-03-2022,09-03-2022,0
CARGO VAN,2181,MI,GJ,WARREN,SILAO,08-03-2022,11-03-2022,0
STRAIGHT TRUCK,1353,TX,IN,LAREDO,GREENSBURG,08-03-2022,10-03-2022,0
SPRINTER,1637,TX,MI,LAREDO,WARREN,08-03-2022,10-03-2022,0
STRAIGHT TRUCK,1637,MI,TX,ROSEVILLE,LAREDO,08-03-2022,10-03-2022,0
CARGO VAN,1643,MI,TX,HOLLY,LAREDO,08-03-2022,10-03-2022,0
SPRINTER,1585,CA,TX,CARPINTERIA,LAREDO,08-03-2022,10-03-2022,0
CARGO VAN,1053,TX,MO,LAREDO,SAINT LOUIS,08-03-2022,09-03-2022,0
CUBE VAN,187,CU,TX,RAMOS ARIZPE,LAREDO,08-03-2022,08-03-2022,0
TRACTOR,1493,CU,SC,CENTRO,GRAY COURT,08-03-2022,10-03-2022,0
TRACTOR,504,TN,MI,COOKEVILLE,MANCHESTER,08-03-2022,09-03-2022,0
SPRINTER,1616,TX,MI,LAREDO,DETROIT,08-03-2022,10-03-2022,0
CARGO VAN,1117,TN,TX,SPRINGFIELD,LAREDO,08-03-2022,09-03-2022,0
TRACTOR,584,QA,TX,QUERÉTARO,LAREDO,08-03-2022,09-03-2022,0
TRACTOR,1426,TX,ON,GRAND PRAIRIE,CONCORD,07-03-2022,09-03-2022,0
CARGO VAN,1092,TX,TN,LAREDO,SPRING HILL,07-03-2022,09-03-2022,0
CUBE VAN,497,TX,AG,LAREDO,AGUASCALIENTES,07-03-2022,08-03-2022,0
STRAIGHT TRUCK,1965,NX,ON,APODACA,OAKVILLE,07-03-2022,11-03-2022,0
CUBE VAN,1575,TX,MI,LAREDO,LANSING,07-03-2022,09-03-2022,0
STRAIGHT TRUCK,1383,NC,TX,MORGANTON,LAREDO,07-03-2022,09-03-2022,0
CARGO VAN,1619,TX,MI,LAREDO,MOUNT PLEASANT,07-03-2022,09-03-2022,0
TRACTOR,1426,TX,ON,GRAND PRAIRIE,CONCORD,07-03-2022,11-03-2022,0
TRACTOR,1426,TX,ON,GRAND PRAIRIE,CONCORD,07-03-2022,10-03-2022,0
TRACTOR,693,TX,EM,LAREDO,TOLUCA,07-03-2022,09-03-2022,0
TRACTOR,568,KY,KY,BOWLING GREEN,BOWLING GREEN,07-03-2022,08-03-2022,0
TRACTOR,1169,TX,IL,LAREDO,FLORA,07-03-2022,11-03-2022,0
CUBE VAN,1621,MI,TX,SOUTHFIELD,LAREDO,07-03-2022,09-03-2022,0
CARGO VAN,1994,SL,MI,SAN LUIS POTOSÍ,KENTWOOD,07-03-2022,10-03-2022,0
STRAIGHT TRUCK,1639,MI,TX,MOUNT CLEMENS,LAREDO,07-03-2022,09-03-2022,0
STRAIGHT TRUCK,1758,TX,MI,LOS INDIOS,STERLING HEIGHTS,06-03-2022,08-03-2022,0
TRACTOR,2030,OH,QA,URBANA,QUERÉTARO,06-03-2022,11-03-2022,0
TRACTOR,2007,TX,MI,LAREDO,WARREN,06-03-2022,09-03-2022,0
STRAIGHT TRUCK,2210,QA,MI,SANTA ROSA,STERLING HEIGHTS,05-03-2022,09-03-2022,0
STRAIGHT TRUCK,584,TX,GJ,LAREDO,AMPLIACIÓN SAN VICENTE DE FLORES,05-03-2022,07-03-2022,0
CARGO VAN,1525,TX,MI,LAREDO,BATTLE CREEK,05-03-2022,07-03-2022,0
TRACTOR,1754,NX,MI,DEL VALLE,LIVONIA,05-03-2022,09-03-2022,0
STRAIGHT TRUCK,787,TX,TX,PHARR,EL PASO,05-03-2022,07-03-2022,0
CARGO VAN,1117,TN,TX,SPRINGFIELD,LAREDO,05-03-2022,07-03-2022,0
STRAIGHT TRUCK,1235,KY,TX,RUSSELL SPRINGS,LAREDO,05-03-2022,07-03-2022,0
STRAIGHT TRUCK,145,TX,NX,LAREDO,APODACA,04-03-2022,05-03-2022,0
TRACTOR,1716,SL,KY,POZOS,LOUISVILLE,04-03-2022,11-03-2022,0
CARGO VAN,1527,MI,TX,BATTLE CREEK,LAREDO,04-03-2022,07-03-2022,0
STRAIGHT TRUCK,1353,TX,IN,LAREDO,GREENSBURG,04-03-2022,06-03-2022,0
CARGO VAN,1344,TX,KY,PHARR,LOUISVILLE,04-03-2022,07-03-2022,0
